authors,comments,publisher,tags,timestamp,formats,id,isbn,identifiers,languages,library_name,author_sort,title_sort,cover,pubdate,series,series_index,size,title,rating,uuid
"José Luis Gámez Merino","","","","2025-03-20T04:51:29+01:00","pdf","11","","","","Biblioteca de calibre","Merino, José Luis Gámez","Análisis de Variable Real: Integral de Riemann (Apuntes)","/home/aletheios/Biblioteca de calibre/Jose Luis Gamez Merino/Analisis de Variable Real_ Integral de Riemann (Apuntes) (11)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","540270","Análisis de Variable Real: Integral de Riemann (Apuntes)","","bd055a29-fb52-441f-8c2c-5fee3c117bbe"
"Johnsonbaugh Richard","","","","2025-03-20T04:51:30+01:00","pdf","12","","","","Biblioteca de calibre","Richard, Johnsonbaugh","Matemáticas discretas","/home/aletheios/Biblioteca de calibre/Johnsonbaugh Richard/Matematicas discretas (12)/cover.jpg","2010-10-15T21:28:06+01:00","","1.0","9589542","Matemáticas discretas","","0c96e6e6-7f35-457c-9cff-89ac8b4cba28"
"Analisis Clasico Elemental-Addison Wesley Longman (1997)","","","","2025-03-20T04:51:30+01:00","pdf","13","","","","Biblioteca de calibre","Longman, Analisis Clasico Elemental-Addison Wesley","Jerrold E. Marsden, Michael J. Hoffman","/home/aletheios/Biblioteca de calibre/Analisis Clasico Elemental-Addison Wesley Longman (1997)/Jerrold E. Marsden, Michael J. Hoffman (13)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","17509681","Jerrold E. Marsden, Michael J. Hoffman","","3a25b9be-a9fd-4a2b-a3f0-f4cdef2c6659"
"Euclides","","","","2025-03-20T04:51:30+01:00","pdf","14","","","","Biblioteca de calibre","Euclides","Elementos","/home/aletheios/Biblioteca de calibre/Euclides/Elementos (14)/cover.jpg","2003-10-06T13:42:18+01:00","","1.0","246200","Elementos","","4a6cab31-e7cf-430e-80e6-9def9afb01ad"
"Desconocido","","","","2025-03-20T04:51:30+01:00","pdf","15","","","","Biblioteca de calibre","Desconocido","J2P and P2J Ver 1","/home/aletheios/Biblioteca de calibre/Desconocido/J2P and P2J Ver 1 (15)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","16848115","J2P and P2J Ver 1","","99d09272-57eb-42fa-9c0b-23bdb6f4c5fb"
"Desconocido","","","","2025-03-20T04:51:30+01:00","pdf","16","","","","Biblioteca de calibre","Desconocido","conjuntos y numeros","/home/aletheios/Biblioteca de calibre/Desconocido/conjuntos y numeros (16)/cover.jpg","2014-11-19T00:03:17+01:00","","1.0","1906432","conjuntos y numeros","","f1f22175-88ad-4f58-8b22-40962131774c"
"Desconocido","","","","2025-03-20T04:51:30+01:00","pdf","17","","","","Biblioteca de calibre","Desconocido","libro-una-eterna-trenza-dorada","/home/aletheios/Biblioteca de calibre/Desconocido/libro-una-eterna-trenza-dorada (17)/cover.jpg","2007-07-27T04:19:47+01:00","","1.0","46015343","libro-una-eterna-trenza-dorada","","bc39896e-b82b-4b67-bb2d-538a6848aff5"
"Desconocido","","","","2025-03-20T04:51:30+01:00","pdf","18","","","","Biblioteca de calibre","Desconocido","Algebra lineal y Geometria Eugenio H Rod","/home/aletheios/Biblioteca de calibre/Desconocido/Algebra lineal y Geometria Eugenio H Rod (18)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","5874232","Algebra lineal y Geometria Eugenio H Rod","","d5f2f1bf-2910-41a2-906a-08884b55fdc7"
"Richard W.Hamming","Engineering, Computing & Technology","","Engineering, Computing & Technology","2025-03-20T04:51:30+01:00","pdf","19","","","","Biblioteca de calibre","W.Hamming, Richard","The Art of Doing Science and Engineering: Learning to Learn","/home/aletheios/Biblioteca de calibre/Richard W.Hamming/The Art of Doing Science and Engineering_ Learning to Learn (19)/cover.jpg","2005-10-08T18:09:18+01:00","","1.0","3185486","The Art of Doing Science and Engineering: Learning to Learn","","6e9610b9-8d43-4ce7-bfcc-9fbcd3713e0e"
"Desconocido","","","","2025-03-20T04:51:31+01:00","pdf","20","","","","Biblioteca de calibre","Desconocido","griffiths-single.dvi","/home/aletheios/Biblioteca de calibre/Desconocido/griffiths-single.dvi (20)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","520970","griffiths-single.dvi","","11924bf2-331b-47a7-9c53-24a5e4b18863"
"Zamzar","","","","2025-03-20T04:51:31+01:00","pdf","21","","","","Biblioteca de calibre","Zamzar","Brikman Y. Terraform. Up and Running. Writing...as Code 3ed 2022","/home/aletheios/Biblioteca de calibre/Zamzar/Brikman Y. Terraform. Up and Running. Writing_.as Code 3ed 2022 (21)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","8863156","Brikman Y. Terraform. Up and Running. Writing...as Code 3ed 2022","","27c1ec3c-ac2d-404a-9e43-2d6c2634066b"
"Horowitz & Hill","","","","2025-03-20T04:51:31+01:00","pdf","22","","","","Biblioteca de calibre","Horowitz & Hill","The Art of Electronics (3rd edition)","/home/aletheios/Biblioteca de calibre/Horowitz/The Art of Electronics (3rd edition) (22)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","30403536","The Art of Electronics (3rd edition)","","af424a77-db2b-445f-b4a4-33d024282897"
"Bienvenidos a tiempos interesantes","","","","2025-03-20T04:51:31+01:00","pdf","23","","","","Biblioteca de calibre","interesantes, Bienvenidos a tiempos","Zizek Slavoj","/home/aletheios/Biblioteca de calibre/Bienvenidos a tiempos interesantes/Zizek Slavoj (23)/cover.jpg","2011-04-14T20:41:41+01:00","","1.0","2151587","Zizek Slavoj","","b783c700-b245-44b7-9e3a-8b5715fa57b7"
"Vatsyayana","","","Literatura Erotica","2025-03-20T04:51:31+01:00","pdf","24","","","","Biblioteca de calibre","Vatsyayana","Kamasutra","/home/aletheios/Biblioteca de calibre/Vatsyayana/Kamasutra (24)/cover.jpg","2001-04-03T19:10:45+01:00","","1.0","551869","Kamasutra","","37896d8c-8f45-4516-9342-2b7d66937b46"
"Adolfo P. Carpio","","","","2025-03-20T04:51:32+01:00","pdf","25","","","","Biblioteca de calibre","Carpio, Adolfo P.","PRINCIPIOS DE FILOSOFÍA UNA INTRODUCCIÓN A SU PROBLEMÁTICA","/home/aletheios/Biblioteca de calibre/Adolfo P. Carpio/PRINCIPIOS DE FILOSOFIA UNA INTRODUCCION A SU PROBLEMATICA (25)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","2762533","PRINCIPIOS DE FILOSOFÍA UNA INTRODUCCIÓN A SU PROBLEMÁTICA","","935180ec-844c-4980-8b36-635b6101cfaa"
"Crimen y castigo","","","","2025-03-20T04:51:32+01:00","pdf","26","","","","Biblioteca de calibre","castigo, Crimen y","Crimen y castigo","/home/aletheios/Biblioteca de calibre/Crimen y castigo/Crimen y castigo (26)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","6990135","Crimen y castigo","","c64e242a-38a5-408e-a881-857c86c8a8cd"
"Padre rico, padre pobre","","","","2025-03-20T04:51:32+01:00","pdf","27","","","","Biblioteca de calibre","Padre rico, padre pobre","Kiyosaki Robert","/home/aletheios/Biblioteca de calibre/Padre rico, padre pobre/Kiyosaki Robert (27)/cover.jpg","2022-03-10T17:40:37+01:00","","1.0","1453288","Kiyosaki Robert","","68f91ff9-77fd-4b81-839f-05fd1f26a5d7"
"Epicuro","","","FILOSOFIA","2025-03-20T04:51:32+01:00","pdf","28","","mobi-asin:b1b04245-2b19-4aaf-a92a-882f904dba6a","spa","Biblioteca de calibre","Epicuro","Cartas de Epicuro","/home/aletheios/Biblioteca de calibre/Epicuro/Cartas de Epicuro (28)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","874042","Cartas de Epicuro","","fdb54290-395f-43e5-a7b6-cedc6514a069"
"Obras I","","","","2025-03-20T04:51:32+01:00","pdf","29","","","","Biblioteca de calibre","Obras I","Camus Albert","/home/aletheios/Biblioteca de calibre/Obras I/Camus Albert (29)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","2276034","Camus Albert","","ce0ce462-7e70-40f7-96b2-9666c81f9dc3"
"Thomas Hobbes","FILOSOFIA","","FILOSOFIA","2025-03-20T04:51:32+01:00","pdf","30","","","","Biblioteca de calibre","Hobbes, Thomas","Hobbes Thomas","/home/aletheios/Biblioteca de calibre/Thomas Hobbes/Hobbes Thomas (30)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","632481","Hobbes Thomas","","cc72be51-1c36-44ce-9c86-d69f03cc5493"
"Unwin, J. D. (Joseph Daniel), 1895-1936.","","","http://archive.org/details/b20442580","2025-03-20T04:51:33+01:00","pdf","31","","","","Biblioteca de calibre","Unwin, J. D. (Joseph Daniel), 1895-1936.","Sex and culture [electronic resource]","/home/aletheios/Biblioteca de calibre/Unwin, J. D. (Joseph Daniel), 1895-1936_/Sex and culture [electronic resource] (31)/cover.jpg","2014-05-08T19:55:08+01:00","","1.0","58374021","Sex and culture [electronic resource]","","f2087892-13c3-4d67-951a-0cb4a5d8016b"
"Bertrand Russell","","","","2025-03-20T04:51:33+01:00","pdf","32","","","","Biblioteca de calibre","Russell, Bertrand","Historia de la filosof?a occidental","/home/aletheios/Biblioteca de calibre/Bertrand Russell/Historia de la filosof_a occidental (32)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","3613418","Historia de la filosof?a occidental","","80e338da-2799-4ba8-aa06-9d73a63a3598"
"Rebelión en la granja","Una condena de la sociedad totalitaria, brillantemente pasmada en una ingeniosa fábula de carácter alegórico. Los animales de la granja de los Jones se sublevan contra sus dueños humanos y lo0s vencen. Pero la rebelión fracasará al surgir entre ellos rivalidades y envidias, y al aliarse algunos con los amos que derrocaron, traicionando su propia identidad y los intereses de su clase. Aunque Rebelión en la granja fue concebida como una despiadada sátira del estalinismo, el carácter universal de su mensaje hace de este libro un extraordinario análisis de la corrupción que engendra el poder, una furibunda diatriba contra el totalitarismo de cualquier especie y un lúcido examen de las manipulaciones que sufre la verdad histórica en los momentos de transformación política.","","prose_contemporary","2025-03-20T04:51:33+01:00","pdf","33","","mobi-asin:8dbbddc4-cbdf-4bd4-a567-d413c5e3c6a7","spa","Biblioteca de calibre","granja, Rebelión en la","Rebelión en la granja","/home/aletheios/Biblioteca de calibre/Rebelion en la granja/Rebelion en la granja (33)/cover.jpg","2015-10-09T23:00:00+01:00","","1.0","645261","Rebelión en la granja","","3be078cb-d26e-4540-8c2f-51bd597fe29d"
"Darwin, Charles","","","Non-Fiction, Essay, Science","2025-03-20T04:51:33+01:00","pdf","34","","","","Biblioteca de calibre","Darwin, Charles","origen de las especies, El","/home/aletheios/Biblioteca de calibre/Darwin, Charles/El origen de las especies (34)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","2315934","El origen de las especies","","cac36588-b2c2-4b33-aff6-33dfedebbd6b"
"El Ortiba","","","","2025-03-20T04:51:33+01:00","pdf","35","","","","Biblioteca de calibre","Ortiba, El","interpretación de los sueños, La","/home/aletheios/Biblioteca de calibre/El Ortiba/La interpretacion de los suenos (35)/cover.jpg","2006-11-15T00:58:30+01:00","","1.0","1735992","La interpretación de los sueños","","fb525fa3-dc80-4b8a-9c91-b4a3f954fb91"
"René Descartes","","","FILOSOFIA","2025-03-20T04:51:33+01:00","pdf","36","","mobi-asin:10fbac75-12e9-47a1-b434-31478770df3e","eng","Biblioteca de calibre","Descartes, René","Discurso del método","/home/aletheios/Biblioteca de calibre/Rene Descartes/Discurso del metodo (36)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","331447","Discurso del método","","3e45256d-2b86-428b-afaf-0e88386a7bed"
"Montesquieu","FILOSOFIA","","FILOSOFIA","2025-03-20T04:51:33+01:00","pdf","37","","","","Biblioteca de calibre","Montesquieu","Montesquieu Charles","/home/aletheios/Biblioteca de calibre/Montesquieu/Montesquieu Charles (37)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","1442179","Montesquieu Charles","","1e096dc1-7223-458f-8774-58e5ffad7863"
"Arthur Schopenhauer","En la obra de Arthur Schopenhauer, pensador misántropo y pesimista denostado por sus amargas invectivas, el lector no encontrará cándidos pensamientos con los que acompañar plácidamente el paso de los días. Sin embargo, se equivocará si busca en el autor tan solo una amarga visión de la vida, severos diagnósticos sobre la época que le tocó vivir o incluso, en último término, una exhortación al suicidio. Como muestra la presente selección de textos, a cargo de Ernst Ziegler, lo que brota de su pensamiento es la convicción de que debemos comenzar a vivir de nuevo cada día, pues resulta todo un arte permanecer con vida.«La única forma de existencia es el momento presente, que es también la posesión más segura, aquella que nadie nos podrá arrebatar jamás». Arthur Schopenhauer","","FILOSOFIA","2025-03-20T04:51:33+01:00","pdf","38","","mobi-asin:722d0c44-c2d1-449a-b3b2-4c0c53d3a157","spa","Biblioteca de calibre","Schopenhauer, Arthur","arte de sobrevivir, El","/home/aletheios/Biblioteca de calibre/Arthur Schopenhauer/El arte de sobrevivir (38)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","928107","El arte de sobrevivir","","c0bc217a-83c7-4ac9-b041-647843312a75"
"John Locke","FILOSOFIA","","FILOSOFIA","2025-03-20T04:51:33+01:00","pdf","39","","","","Biblioteca de calibre","Locke, John","Locke John","/home/aletheios/Biblioteca de calibre/John Locke/Locke John (39)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","1709568","Locke John","","2609c851-50dd-47cf-b310-c5445432f42b"
"Como la no violencia protege al estado","","","","2025-03-20T04:51:33+01:00","pdf","40","","","","Biblioteca de calibre","estado, Como la no violencia protege al","Gelderloos Peter","/home/aletheios/Biblioteca de calibre/Como la no violencia protege al estado/Gelderloos Peter (40)/cover.jpg","2014-05-24T05:09:02+01:00","","1.0","736186","Gelderloos Peter","","be4efbfc-3907-4425-8912-00950f0e770d"
"Aristóteles","","","","2025-03-20T04:51:34+01:00","pdf","41","","","","Biblioteca de calibre","Aristóteles","Analíticos Primeros","/home/aletheios/Biblioteca de calibre/Aristoteles/Analiticos Primeros (41)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","8212075","Analíticos Primeros","","82de73c5-7f70-4208-a15d-60af739996ca"
"El concepto de la angustia","","","","2025-03-20T04:51:34+01:00","pdf","42","","","","Biblioteca de calibre","angustia, El concepto de la","concepto de la angustia-Kierkegaard Soren, El","/home/aletheios/Biblioteca de calibre/El concepto de la angustia/El concepto de la angustia-Kierkegaard Soren (42)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","19553953","El concepto de la angustia-Kierkegaard Soren","","d3eb043f-d28b-48b8-a125-73416b4d1640"
"rebeca","","","","2025-03-20T04:51:34+01:00","pdf","43","","","","Biblioteca de calibre","rebeca","Microsoft Word - BEAUVOIR - EL SEGUNDO SEXO.doc","/home/aletheios/Biblioteca de calibre/rebeca/Microsoft Word - BEAUVOIR - EL SEGUNDO SEXO.doc (43)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","1980070","Microsoft Word - BEAUVOIR - EL SEGUNDO SEXO.doc","","073292b6-a80b-4b24-b662-91177fa3d5fe"
"Tecnologías del yo","","","","2025-03-20T04:51:34+01:00","pdf","44","","","","Biblioteca de calibre","yo, Tecnologías del","Foucault Michel","/home/aletheios/Biblioteca de calibre/Tecnologias del yo/Foucault Michel (44)/cover.jpg","2008-01-24T21:35:03+01:00","","1.0","1044794","Foucault Michel","","26c0827e-9154-46bc-8faa-aaa85f3dc1e8"
"Martin Heidegger - Heidegger en castellano","","","","2025-03-20T04:51:34+01:00","pdf","45","","","","Biblioteca de calibre","castellano, Martin Heidegger - Heidegger en","Heidegger Martin","/home/aletheios/Biblioteca de calibre/Martin Heidegger - Heidegger en castellano/Heidegger Martin (45)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","1564953","Heidegger Martin","","62a54c38-7bb1-4235-b114-679a80b6072a"
"Tao Te Ching","","","","2025-03-20T04:51:34+01:00","pdf","46","","","","Biblioteca de calibre","Ching, Tao Te","Lao Tse","/home/aletheios/Biblioteca de calibre/Tao Te Ching/Lao Tse (46)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","300178","Lao Tse","","1c0a6c96-3a13-47fc-9498-febf17c15bcc"
"Althusser, Louis","","","","2025-03-20T04:51:34+01:00","pdf","47","","","","Biblioteca de calibre","Althusser, Louis","Iniciación a la filosofía para los no filósofos","/home/aletheios/Biblioteca de calibre/Althusser, Louis/Iniciacion a la filosofia para los no filosofos (47)/cover.jpg","2016-12-19T14:15:40+01:00","","1.0","703431","Iniciación a la filosofía para los no filósofos","","d5a82333-3f40-40f4-a2d1-fbe49b83a17d"
"Friedrich Nietzsche","","","FILOSOFIA","2025-03-20T04:51:34+01:00","pdf","48","","mobi-asin:b832fdb7-ca30-4bb4-a3d6-fadcd5749891","spa","Biblioteca de calibre","Nietzsche, Friedrich","Así Habló Zaratustra","/home/aletheios/Biblioteca de calibre/Friedrich Nietzsche/Asi Hablo Zaratustra (48)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","1159165","Así Habló Zaratustra","","c64a6697-957b-41bf-a22e-6f21ef21a550"
"Investigación sobre el conocimiento humano","","","","2025-03-20T04:51:34+01:00","pdf","49","","","","Biblioteca de calibre","humano, Investigación sobre el conocimiento","Hume David","/home/aletheios/Biblioteca de calibre/Investigacion sobre el conocimiento humano/Hume David (49)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","10561604","Hume David","","50d51539-2f52-4957-a308-71982e458a3a"
"Marco Aurelio","FILOSOFIA","","FILOSOFIA","2025-03-20T04:51:34+01:00","pdf","50","","","","Biblioteca de calibre","Aurelio, Marco","Aurelio Marco","/home/aletheios/Biblioteca de calibre/Marco Aurelio/Aurelio Marco (50)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","300306","Aurelio Marco","","7ea9a981-5f00-4c90-8ec3-cd6593e05d11"
"El mundo de Sofía","Poco antes de cumplir los quince años, la joven Sofía recibe una misteriosa carta anónima con las siguientes preguntas: «¿Quién eres?», «¿De dónde viene el mundo?». Éste es el punto de partida de una apasionada expedición a través de la historia de la filosofía con un enigmático filósofo. A lo largo de la novela, Sofía irá desarrollando su identidad a medida que va ampliando su pensamiento a través de estas enseñanzas: porque la Verdad es mucho más interesante y más compleja de lo que podría haber imaginado en un principio. El mundo de Sofía no es sólo una novela de misterio, también es la primera novela hasta el momento que presenta una completa —y entretenida— historia de la filosofía desde sus inicios hasta nuestros días.","","FILOSOFIA, Novela","2025-03-20T04:51:35+01:00","pdf","51","","mobi-asin:f1e3a219-13d6-467f-9d9f-51f9ddab0657","spa","Biblioteca de calibre","Sofía, El mundo de","mundo de Sofía, El","/home/aletheios/Biblioteca de calibre/El mundo de Sofia/El mundo de Sofia (51)/cover.jpg","1991-01-01T01:00:00+01:00","","1.0","2273713","El mundo de Sofía","","2dbbbc3d-5ee4-4376-92da-7a9a73425be5"
"El Príncipe","","","FILOSOFIA","2025-03-20T04:51:35+01:00","pdf","52","","mobi-asin:08ccf130-4c71-4e12-9f23-e3454291ae45","spa","Biblioteca de calibre","Príncipe, El","Príncipe, El","/home/aletheios/Biblioteca de calibre/El Principe/El Principe (52)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","469437","El Príncipe","","0a005366-403b-4d37-a36b-2b98360ba510"
"Graham H. Twelftree","","Cambridge University Press","","2025-03-20T04:51:35+01:00","pdf","53","9781139796484","mobi-asin:B009UTEPIU,isbn:9781139796484","eng","Biblioteca de calibre","Twelftree, Graham H.","The Cambridge Companion to Miracles","/home/aletheios/Biblioteca de calibre/Graham H. Twelftree/The Cambridge Companion to Miracles (53)/cover.jpg","2012-10-17T06:00:00+01:00","","1.0","2324141","The Cambridge Companion to Miracles","","4b585144-1d01-4a97-b742-2eac0c70424c"
"Robin Gill","","","","2025-03-20T04:51:35+01:00","pdf","54","","guid:1e9d809435dc75c334598ef5533fd683b9522186,oasin:0521779189,asin:B000VDKR3Q","eng","Biblioteca de calibre","Gill, Robin","The Cambridge Companion to Christian Ethics","/home/aletheios/Biblioteca de calibre/Robin Gill/The Cambridge Companion to Christian Ethics (54)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","2816705","The Cambridge Companion to Christian Ethics","","8e65d24c-953c-4499-90ad-c0948b5cafd4"
"Nicholas Cronk","","Cambridge University Press","","2025-03-20T04:51:35+01:00","pdf","55","9781139795791","mobi-asin:B009T0KKWA,isbn:9781139795791","eng","Biblioteca de calibre","Cronk, Nicholas","The Cambridge Companion to Voltaire","/home/aletheios/Biblioteca de calibre/Nicholas Cronk/The Cambridge Companion to Voltaire (55)/cover.jpg","2009-02-19T07:00:00+01:00","","1.0","2271978","The Cambridge Companion to Voltaire","","cae81ced-ca64-4493-8102-0b4039effb0d"
"Fenomenología del espíritu","","","","2025-03-20T04:51:35+01:00","pdf","56","","","","Biblioteca de calibre","espíritu, Fenomenología del","Hegel Fenomenologia del espiritu Pre tex","/home/aletheios/Biblioteca de calibre/Fenomenologia del espiritu/Hegel Fenomenologia del espiritu Pre tex (56)/cover.jpg","2012-06-02T04:01:45+01:00","","1.0","75520941","Hegel Fenomenologia del espiritu Pre tex","","47fe166f-7dae-4884-851c-23f7b524a525"
"Tom Sorell","","Cambridge University Press","","2025-03-20T04:51:35+01:00","pdf","57","9780521410199","isbn:9780521410199,mobi-asin:B00AA8JSUK","eng","Biblioteca de calibre","Sorell, Tom","The Cambridge Companion to Hobbes","/home/aletheios/Biblioteca de calibre/Tom Sorell/The Cambridge Companion to Hobbes (57)/cover.jpg","1996-01-26T07:00:00+01:00","","1.0","2669411","The Cambridge Companion to Hobbes","","f5465392-5e51-45a4-a4be-23cbb8446b57"
"La sociedad sitiada","","","","2025-03-20T04:51:35+01:00","pdf","58","","","","Biblioteca de calibre","sitiada, La sociedad","Bauman Zygmunt","/home/aletheios/Biblioteca de calibre/La sociedad sitiada/Bauman Zygmunt (58)/cover.jpg","2010-05-25T22:10:59+01:00","","1.0","8636960","Bauman Zygmunt","","cc71a139-2ca0-4e5d-86c9-12aadeb3b28b"
"Platón","El banquete o El simposio (en griego antiguo Συμπόσιον, Sympósion) es un diálogo platónico escrito por Platón sobre los años 385–370 a. C.​ y es uno de los diálogos más trabajados, apreciado tanto por su contenido filosófico como por su contenido literario. Versa sobre el amor. Esta obra, junto al Fedro, conformó la idea de amor platónico.  Ambas son obras clásicas tanto en filosofía como en literatura, tratan el asunto desde un punto de vista que hace que sean complementarias, y totalizan el pensamiento platónico.  En el caso de El banquete, este rememora una cena en la que se han dado cita un grupo de ""comensales"" para mantener un discurso franco sobre el amor y Eros, donde están acompañados de música, bebidas, bailes y recitales. Eros es siempre traducido como amor, que tiene además sus propias variantes y ambigüedades que modifican la comprensión de Eros como el dios de la Antigua Grecia.","","FILOSOFIA","2025-03-20T04:51:36+01:00","pdf","59","","mobi-asin:acf41eb8-b87d-4571-8d88-6b5b52e95fd9","spa","Biblioteca de calibre","Platón","Banquete, El","/home/aletheios/Biblioteca de calibre/Platon/El Banquete (59)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","409417","El Banquete","","1831e19b-d6c3-4dab-88bd-5d838d83041a"
"Kant","","","FILOSOFIA","2025-03-20T04:51:36+01:00","pdf","60","","mobi-asin:cecc09ef-1eca-45ad-848b-ee384aeab96c","spa","Biblioteca de calibre","Kant","Critica de la razon pura","/home/aletheios/Biblioteca de calibre/Kant/Critica de la razon pura (60)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","1480366","Critica de la razon pura","","faa36fb5-0e6a-45fd-a50e-0b0dec2097a5"
